seed_id	min_dist	max_dist	budget	n_paths	d_wPow	diff_vs_min	diff_vs_max
2389032	1	1	1	1	2	1	1
697609	1	1	1	1	2	1	1
694861	1	2	2	2	2.0863	1.0863	0.0863042
696648	1	1	1	1	2	1	1
695027	1	1	1	1	2	1	1
744728	1	1	1	1	2	1	1
1633936	1	1	1	1	2	1	1
751381	1	1	1	1	2	1	1
709243	1	2	2	2	2.0863	1.0863	0.0863042
696763	1	2	2	2	2.0863	1.0863	0.0863042
691182	1	1	1	1	2	1	1
737037	1	1	1	1	2	1	1
1004110	1	2	2	3	2.15844	1.15844	0.158439
690747	1	1	1	1	2	1	1
700914	1	1	1	1	2	1	1
693763	1	1	1	1	2	1	1
47397287	1	1	1	1	2	1	1
696603	1	1	1	1	2	1	1
696790	1	1	1	1	2	1	1
771152	1	2	2	2	2.0863	1.0863	0.0863042
17716287	2	3	3	2	3.10055	1.10055	0.100546
26129524	2	3	3	5	3.30799	1.30799	0.307993
945960	2	2	2	1	3	1	1
28198337	2	2	2	1	3	1	1
10548354	2	2	2	1	3	1	1
38425257	2	3	3	3	3.18244	1.18244	0.182442
63286413	2	2	2	1	3	1	1
66543466	2	2	2	1	3	1	1
1077074	2	4	4	3	3.12399	1.12399	-0.876009
1371892	2	3	3	2	3.10055	1.10055	0.100546
79388301	2	2	2	1	3	1	1
8768412	2	2	2	1	3	1	1
61436467	2	2	2	1	3	1	1
63780684	2	2	2	1	3	1	1
15457132	2	3	3	2	3.10055	1.10055	0.100546
79365519	2	2	2	1	3	1	1
1677225	2	2	2	1	3	1	1
15049568	2	2	2	1	3	1	1
11554713	2	2	2	1	3	1	1
27248985	2	2	2	1	3	1	1
1827680	3	4	4	6	4.37949	1.37949	0.379491
1943944	3	4	4	5	4.15541	1.15541	0.155413
39012298	3	5	5	12	4.38406	1.38406	-0.615941
54770849	3	5	5	6	4.2641	1.2641	-0.735902
21259329	3	3	3	1	4	1	1
63776785	3	4	4	6	4.37949	1.37949	0.379491
30661910	3	5	5	5	4.24229	1.24229	-0.75771
870156	3	3	3	1	4	1	1
51688341	3	5	5	5	4.18732	1.18732	-0.812676
50999179	3	6	6	33	4.48191	1.48191	-1.51809
43000916	3	3	3	1	4	1	1
56622434	3	4	4	6	4.19692	1.19692	0.196924
43351319	3	4	4	2	4.10933	1.10933	0.10933
71634178	3	6	6	26	4.51577	1.51577	-1.48423
1474255	3	3	3	1	4	1	1
999433	3	4	4	3	4.19692	1.19692	0.196924
22746207	3	4	4	5	4.15541	1.15541	0.155413
18948438	3	6	6	31	4.28499	1.28499	-1.71501
21361418	3	5	5	7	4.23571	1.23571	-0.764287
3782398	3	3	3	1	4	1	1
19616285	4	4	4	1	5	1	1
53561360	4	8	8	199	5.87347	1.87347	-2.12653
32869309	4	6	6	16	5.50841	1.50841	-0.491593
56287155	4	6	6	10	5.4028	1.4028	-0.597202
82360320	4	6	6	7	5.30217	1.30217	-0.697829
36445785	4	9	9	252	5.69173	1.69173	-3.30827
