seed_id	min_dist	max_dist	budget	n_paths	d_wPow	diff_vs_min	diff_vs_max
5833	1	1	1	1	2	1	1
23058	1	1	1	1	2	1	1
5904	1	1	1	1	2	1	1
1216628	1	1	1	1	2	1	1
384871	1	1	1	1	2	1	1
5865	1	1	1	1	2	1	1
1192069	1	1	1	1	2	1	1
6584	1	1	1	1	2	1	1
65947	1	1	1	1	2	1	1
84052	1	1	1	1	2	1	1
21113	1	1	1	1	2	1	1
1189017	1	1	1	1	2	1	1
706839	2	2	2	1	3	1	1
1189002	2	2	2	1	3	1	1
67490	2	2	2	1	3	1	1
1232577	2	2	2	1	3	1	1
909170	2	2	2	1	3	1	1
18849	2	2	2	1	3	1	1
576784	2	2	2	1	3	1	1
311529	2	2	2	1	3	1	1
6532	2	2	2	1	3	1	1
916440	2	2	2	1	3	1	1
38676	2	2	2	1	3	1	1
6569	2	2	2	1	3	1	1
258974	2	2	2	1	3	1	1
50523	2	2	2	1	3	1	1
377901	2	2	2	1	3	1	1
925491	3	3	3	1	4	1	1
643197	3	4	4	2	4.12759	1.12759	0.127593
1001704	3	3	3	1	4	1	1
321276	3	3	3	2	4	1	1
773605	3	3	3	1	4	1	1
415627	3	3	3	1	4	1	1
283673	3	4	4	2	4.12759	1.12759	0.127593
966931	3	3	3	1	4	1	1
965856	3	3	3	1	4	1	1
682887	3	3	3	1	4	1	1
72557	3	3	3	1	4	1	1
1183497	3	3	3	1	4	1	1
398201	3	3	3	1	4	1	1
375787	3	3	3	1	4	1	1
915181	3	3	3	1	4	1	1
577888	4	5	5	4	5.31741	1.31741	0.317415
13067	4	6	6	4	5.21249	1.21249	-0.787505
142064	4	4	4	1	5	1	1
860247	4	5	5	5	5.09383	1.09383	0.0938251
407165	4	5	5	3	5.23677	1.23677	0.236774
938115	4	5	5	2	5.13439	1.13439	0.134389
401345	4	4	4	1	5	1	1
931261	4	4	4	2	5	1	1
290035	4	6	6	4	5.21249	1.21249	-0.787505
836044	4	5	5	4	5.13439	1.13439	0.134389
178078	4	5	5	8	5.20546	1.20546	0.205463
145489	4	6	6	4	5.21249	1.21249	-0.787505
161575	4	4	4	1	5	1	1
1145699	4	4	4	2	5	1	1
1097660	4	5	5	4	5.31741	1.31741	0.317415
874569	5	7	7	33	6.65229	1.65229	-0.347715
1090978	5	7	7	12	6.51668	1.51668	-0.483322
927129	5	7	7	25	6.44879	1.44879	-0.551209
898299	5	5	5	1	6	1	1
1247624	5	7	7	29	6.8285	1.8285	-0.171504
280921	5	7	7	30	6.33694	1.33694	-0.663061
14555	5	6	6	5	6.19526	1.19526	0.195261
119841	5	5	5	2	6	1	1
438189	5	5	5	1	6	1	1
422711	5	6	6	7	6.17743	1.17743	0.17743
832757	5	6	6	10	6.13928	1.13928	0.139278
539150	5	5	5	1	6	1	1
405460	5	6	6	7	6.10825	1.10825	0.108246
905467	5	8	8	51	6.70598	1.70598	-1.29402
90743	5	7	7	31	6.37626	1.37626	-0.623742
537980	6	8	8	65	7.66443	1.66443	-0.335566
