# page-membership (element_of) round (gen_page_pairs.py; source=MediaWiki API via fetch_category_pages.py; Haiku-graded CENTRALITY). a=category b=page; relation=element_of, a_type=category b_type=page. neg=off-domain non-membership. cols: a	b	stratum	wl	mu	relation	a_type	b_type
Feudalism	Autowave_reverberator	neg	-1	0.0	element_of	category	page
Galaxies	Ellis–Numakura_lemma	neg	-1	0.0	element_of	category	page
Cooking	No-wandering-domain_theorem	neg	-1	0.0	element_of	category	page
Nonlinear_systems	Quadratic_integrate_and_fire	pos_pageof_nonlinear_sy	-1	0.8	element_of	category	page
1978_albums	Stakeholder_analysis	neg	-1	0.0	element_of	category	page
Comedians	Living_technology	neg	-1	0.0	element_of	category	page
Emergence	Ideal_observer_theory	pos_pageof_emergence	-1	0.2	element_of	category	page
Nonlinear_systems	Duffing_equation	pos_pageof_nonlinear_sy	-1	1.0	element_of	category	page
Systems_analysis	Control–feedback–abort_loop	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Medieval_knights	Autowave	neg	-1	0.0	element_of	category	page
Systems_analysis	System_context_diagram	pos_pageof_systems_anal	-1	0.8	element_of	category	page
Tornado	Darwin_among_the_Machines	neg	-1	0.0	element_of	category	page
Feudalism	Living_technology	neg	-1	0.0	element_of	category	page
Tornado	Ergodic_process	neg	-1	0.0	element_of	category	page
Cooking	Antireductionism	neg	-1	0.0	element_of	category	page
Cooking	Organicism	neg	-1	0.0	element_of	category	page
Bifurcation_theory	Hopf_bifurcation	pos_pageof_bifurcation_	-1	1.0	element_of	category	page
Tornado	Systems_modeling	neg	-1	0.0	element_of	category	page
Feudalism	Bifurcation_theory	neg	-1	0.0	element_of	category	page
Galaxies	Decentralised_system	neg	-1	0.0	element_of	category	page
Emergence	Biological_organisation	pos_pageof_emergence	-1	0.6	element_of	category	page
Television_stations	HIPO_model	neg	-1	0.0	element_of	category	page
Holism	Logical_holism	pos_pageof_holism	-1	0.8	element_of	category	page
Ergodic_theory	Ergodic_flow	pos_pageof_ergodic_theo	-1	1.0	element_of	category	page
Feudalism	Ergodic_flow	neg	-1	0.0	element_of	category	page
Television_stations	System_requirements_specification	neg	-1	0.0	element_of	category	page
Comedians	Semantic_data_model	neg	-1	0.0	element_of	category	page
Emergence	Consciousness	pos_pageof_emergence	-1	0.0	element_of	category	page
Public_toilets_automation	Structured_programming	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Dispersive_partial_differential_equation	neg	-1	0.0	element_of	category	page
Ergodic_theory	Equidistribution_theorem	pos_pageof_ergodic_theo	-1	1.0	element_of	category	page
Public_toilets_automation	Kingman's_subadditive_ergodic_theorem	neg	-1	0.0	element_of	category	page
Medieval_knights	Nonlinear_system	neg	-1	0.0	element_of	category	page
