# page-membership gap-fill (find_data_gaps targets; MediaWiki API; Haiku centrality). relation=element_of. cols: a	b	stratum	wl	mu	relation	a_type	b_type
Public_toilets_automation	Exergy_efficiency	neg	-1	0.0	element_of	category	page
Galaxies	Parallel_task_scheduling	neg	-1	0.0	element_of	category	page
Comedians	Passband	neg	-1	0.0	element_of	category	page
Television_stations	Mathieu_wavelet	neg	-1	0.0	element_of	category	page
Cooking	Duality_gap	neg	-1	0.0	element_of	category	page
Cooking	TAPAAL_Model_Checker	neg	-1	0.0	element_of	category	page
Packing_problems	Close-packing_of_equal_spheres	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Tornado	Non-linear_multi-dimensional_signal_processing	neg	-1	0.0	element_of	category	page
Tornado	Polygon_partition	neg	-1	0.0	element_of	category	page
Linear_filters	Bridged_T_delay_equaliser	pos_pageof_linear_filte	-1	0.8	element_of	category	page
Comedians	Harmonic_wavelet_transform	neg	-1	0.0	element_of	category	page
Linear_programming	Dual_linear_program	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Public_toilets_automation	Maximum_flow_problem	neg	-1	0.0	element_of	category	page
Television_stations	Basic_solution_(linear_programming)	neg	-1	0.0	element_of	category	page
Linear_programming	Revised_simplex_method	pos_pageof_linear_progr	-1	1.0	element_of	category	page
Cooking	Network_synthesis_filters	neg	-1	0.0	element_of	category	page
Linear_filters	Linkwitz–Riley_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Duality_gap	neg	-1	0.0	element_of	category	page
Comedians	Composite_image_filter	neg	-1	0.0	element_of	category	page
Comedians	Jarzynski_equality	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Network-centric_organization	pos_pageof_organization	-1	0.6	element_of	category	page
Galaxies	Non-equilibrium_statistical_mechanics	neg	-1	0.0	element_of	category	page
Packing_problems	List_of_shapes_with_known_packing_constant	pos_pageof_packing_prob	-1	1.0	element_of	category	page
Television_stations	Simplex_algorithm	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Vertex_enumeration_problem	neg	-1	0.0	element_of	category	page
Chess_openings	Kepler_conjecture	neg	-1	0.0	element_of	category	page
Linear_filters	Active_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Packing_problems	Rectangle_packing	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Linear_filters	Analogue_filter	pos_pageof_linear_filte	-1	1.0	element_of	category	page
Public_toilets_automation	Expected_shortfall	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Edmonds–Karp_algorithm	neg	-1	0.0	element_of	category	page
Cooking	Hirsch_conjecture	neg	-1	0.0	element_of	category	page
Medieval_knights	Exergy_efficiency	neg	-1	0.0	element_of	category	page
Television_stations	Workplace_robotics_safety	neg	-1	0.0	element_of	category	page
Feudalism	Ensemble_Kalman_filter	neg	-1	0.0	element_of	category	page
Packing_problems	Sphere_packing_in_a_cube	pos_pageof_packing_prob	-1	0.8	element_of	category	page
Chess_openings	Quadratic_knapsack_problem	neg	-1	0.0	element_of	category	page
Galaxies	Configuration_linear_program	neg	-1	0.0	element_of	category	page
Network_flow_problem	Braess's_paradox	pos_pageof_network_flow	-1	0.4	element_of	category	page
Feudalism	Quarter-wave_impedance_transformer	neg	-1	0.0	element_of	category	page
Public_toilets_automation	Shearlet	neg	-1	0.0	element_of	category	page
Galaxies	Crooks_fluctuation_theorem	neg	-1	0.0	element_of	category	page
Organizational_cybernetics	Workplace_robotics_safety	pos_pageof_organization	-1	0.4	element_of	category	page
Feudalism	Linear_programming_relaxation	neg	-1	0.0	element_of	category	page
Network_flow_problem	Push–relabel_maximum_flow_algorithm	pos_pageof_network_flow	-1	1.0	element_of	category	page
Galaxies	Out-of-kilter_algorithm	neg	-1	0.0	element_of	category	page
Chess_openings	Capacitor-input_filter	neg	-1	0.0	element_of	category	page
Comedians	Loschmidt's_paradox	neg	-1	0.0	element_of	category	page
Wavelets	Dual_wavelet	pos_pageof_wavelets	-1	1.0	element_of	category	page
1978_albums	Push–relabel_maximum_flow_algorithm	neg	-1	0.0	element_of	category	page
Galaxies	Wavelet_for_multidimensional_signals_analysis	neg	-1	0.0	element_of	category	page
Linear_filters	Anti-aliasing_filter	pos_pageof_linear_filte	-1	0.8	element_of	category	page
1978_albums	Network_simplex_algorithm	neg	-1	0.0	element_of	category	page
1978_albums	Generalized_lifting	neg	-1	0.0	element_of	category	page
Linear_programming	Expected_shortfall	pos_pageof_linear_progr	-1	0.4	element_of	category	page
Cooking	Network-centric_organization	neg	-1	0.0	element_of	category	page
