# node	root	cur_rel	neighborhood	judge	P[element_of]	P[subcategory]	P[subtopic]	P[super_category]	P[see_also]	P[assoc]	P[unknown]	P[none]	mu[element_of]	mu[subcategory]	mu[subtopic]	mu[super_category]	mu[see_also]	mu[assoc]	mu[unknown]	mu[none]	E_mu_fwd	E_mu_rev
Applied_philosophy	Applied_disciplines	subcategory	transitive_h1	gpt-5.5-low	0.024	0.357	0.357	0.024	0.048	0.119	0.048	0.024	0.000	0.700	0.750	0.000	0.100	0.250	0.100	0.000	0.557	0.056
Works_about_competitions	Works_about_behavior	subcategory	transitive_h1	gpt-5.5-low	0.028	0.306	0.361	0.028	0.028	0.111	0.056	0.083	0.000	0.550	0.650	0.000	0.050	0.200	0.100	0.000	0.432	0.044
Business_theorists	People_in_business-related_occupations	subcategory	transitive_h1	gpt-5.5-low	0.056	0.444	0.306	0.028	0.028	0.083	0.028	0.028	0.000	0.800	0.550	0.000	0.050	0.150	0.050	0.000	0.539	0.037
Works_about_information	Information	subcategory	transitive_h1	gpt-5.5-low	0.028	0.139	0.444	0.028	0.083	0.194	0.056	0.028	0.000	0.250	0.800	0.000	0.150	0.350	0.100	0.000	0.476	0.093
Techniques_and_principles_related_to_heraldic_tinctures	Principles	subcategory	transitive_h1	gpt-5.5-low	0.033	0.133	0.367	0.033	0.033	0.167	0.100	0.133	0.000	0.200	0.550	0.000	0.050	0.250	0.150	0.000	0.287	0.065
Korean_cuisine-related_lists	Cuisine-related_lists	subcategory	transitive_h1	gpt-5.5-low	0.025	0.457	0.406	0.010	0.025	0.051	0.015	0.010	0.000	0.900	0.800	0.000	0.050	0.100	0.030	0.000	0.743	0.016
Cultural_economics	Culture_and_economy	subcategory	transitive_h1	gpt-5.5-low	0.023	0.209	0.349	0.023	0.116	0.209	0.047	0.023	0.000	0.450	0.750	0.000	0.250	0.450	0.100	0.000	0.484	0.138
New_York_State_Education_Department	State_departments_of_education_of_the_United_States	subcategory	transitive_h1	gpt-5.5-low	0.425	0.275	0.175	0.015	0.025	0.050	0.025	0.010	0.850	0.550	0.350	0.000	0.050	0.100	0.050	0.000	0.581	0.016
Steam_turbines	Turbines	subcategory	transitive_h1	gpt-5.5-low	0.015	0.482	0.381	0.005	0.025	0.076	0.010	0.005	0.000	0.950	0.750	0.000	0.050	0.150	0.020	0.000	0.757	0.018
Engineering_organizations	Engineering	subcategory	transitive_h1	gpt-5.5-low	0.029	0.200	0.371	0.029	0.057	0.200	0.057	0.057	0.000	0.350	0.650	0.000	0.100	0.350	0.100	0.000	0.393	0.091
Former_entities	Entities	subcategory	transitive_h1	gpt-5.5-low	0.045	0.458	0.196	0.011	0.084	0.168	0.028	0.011	0.050	0.720	0.250	0.000	0.120	0.250	0.050	0.000	0.434	0.061
Food_allergy_organizations	Food_allergies	subcategory	transitive_h1	gpt-5.5-low	0.030	0.176	0.442	0.010	0.090	0.226	0.020	0.005	0.050	0.250	0.800	0.000	0.120	0.350	0.050	0.000	0.490	0.094
Deserts	Geography	subcategory	transitive_h1	gpt-5.5-low	0.014	0.213	0.408	0.009	0.085	0.246	0.019	0.005	0.020	0.350	0.780	0.000	0.150	0.450	0.040	0.000	0.517	0.128
Former_government_ministries	Government_ministries	subcategory	transitive_h1	gpt-5.5-low	0.046	0.538	0.173	0.006	0.069	0.145	0.017	0.006	0.050	0.880	0.250	0.000	0.100	0.220	0.030	0.000	0.558	0.044
Paraphilias	Sexual_disorders	subcategory	transitive_h1	gpt-5.5-low	0.013	0.309	0.335	0.017	0.094	0.180	0.034	0.017	0.020	0.680	0.720	0.000	0.180	0.350	0.080	0.000	0.534	0.095
New_Zealand_male_biographers	Male_biographers	subcategory	transitive_h1	gpt-5.5-low	0.037	0.589	0.153	0.006	0.061	0.135	0.012	0.006	0.050	0.920	0.200	0.000	0.080	0.180	0.020	0.000	0.604	0.035
Humanities_education	Humanities	subcategory	transitive_h1	gpt-5.5-low	0.015	0.162	0.467	0.010	0.091	0.228	0.020	0.005	0.020	0.250	0.860	0.000	0.160	0.380	0.040	0.000	0.545	0.105
Pragmatics_works	Academic_works_about_semiotics	subcategory	transitive_h1	gpt-5.5-low	0.096	0.238	0.277	0.012	0.123	0.212	0.031	0.012	0.180	0.550	0.650	0.000	0.250	0.450	0.080	0.000	0.457	0.135
Guinness_World_Records	Trivia_books	subcategory	transitive_h1	gpt-5.5-low	0.313	0.183	0.109	0.013	0.122	0.217	0.026	0.017	0.650	0.350	0.200	0.000	0.220	0.420	0.060	0.000	0.409	0.124
Philosophy_of_language	Language	subcategory	transitive_h1	gpt-5.5-low	0.014	0.114	0.373	0.014	0.159	0.282	0.036	0.009	0.020	0.180	0.720	0.000	0.280	0.550	0.080	0.000	0.492	0.205
Expansion_of_slavery_in_the_United_States	History_of_United_States_expansionism	subcategory	transitive_h1	gpt-5.5-low	0.020	0.304	0.364	0.000	0.101	0.182	0.020	0.008	0.050	0.750	0.900	0.000	0.250	0.450	0.050	0.000	0.665	0.108
Types_of_trauma	Injuries	subcategory	transitive_h1	gpt-5.5-low	0.024	0.310	0.357	0.000	0.071	0.167	0.048	0.024	0.050	0.650	0.750	0.000	0.150	0.350	0.100	0.000	0.544	0.071
Marketing_strategy	Marketing	subcategory	transitive_h1	gpt-5.5-low	0.021	0.299	0.385	0.000	0.107	0.171	0.013	0.004	0.050	0.700	0.900	0.000	0.250	0.400	0.030	0.000	0.652	0.095
