pair_id	corpus	graph_view	branch_id	branch_title	descendant_id	descendant_title	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_normalized_title	hop	descendant_raw_title	descendant_title_audit_action	descendant_canonical_identity	ancestor_raw_title	ancestor_title_audit_action	ancestor_canonical_identity
enwiki-h1-0000	enwiki	category_dag	693763	Academic_disciplines	12730741	Applied_philosophy	applied philosophy	19470381	Applied_disciplines	applied disciplines	1	Applied_philosophy	raw	applied philosophy	Applied_disciplines	raw	applied disciplines
enwiki-h1-0001	enwiki	category_dag	737037	Behavior	47564932	Works_about_competitions	works about competitions	67746871	Works_about_behavior	works about behavior	1	Works_about_competitions	raw	works about competitions	Works_about_behavior	raw	works about behavior
enwiki-h1-0002	enwiki	category_dag	771152	Business	1226607	Business_theorists	business theorists	56870004	People_in_business-related_occupations	people in business-related occupations	1	Business_theorists	raw	business theorists	People_in_business-related_occupations	raw	people in business-related occupations
enwiki-h1-0003	enwiki	category_dag	709243	Communication	39012309	Works_about_information	works about information	1009209	Information	information	1	Works_about_information	raw	works about information	Information	raw	information
enwiki-h1-0004	enwiki	category_dag	24980271	Concepts	58615859	Techniques_and_principles_related_to_heraldic_tinctures	techniques and principles related to heraldic tinctures	5922972	Principles	principles	1	Techniques_and_principles_related_to_heraldic_tinctures	raw	techniques and principles related to heraldic tinctures	Principles	raw	principles
enwiki-h1-0005	enwiki	category_dag	694861	Culture	37435625	Korean_cuisine-related_lists	korean cuisine-related lists	47025435	Cuisine-related_lists	cuisine-related lists	1	Korean_cuisine-related_lists	raw	korean cuisine-related lists	Cuisine-related_lists	raw	cuisine-related lists
enwiki-h1-0006	enwiki	category_dag	47397287	Economy	6649447	Cultural_economics	cultural economics	72679348	Culture_and_economy	culture and economy	1	Cultural_economics	raw	cultural economics	Culture_and_economy	raw	culture and economy
enwiki-h1-0007	enwiki	category_dag	696763	Education	47131507	New_York_State_Education_Department	new york state education department	23681922	State_departments_of_education_of_the_United_States	state departments of education of the united states	1	New_York_State_Education_Department	raw	new york state education department	State_departments_of_education_of_the_United_States	raw	state departments of education of the united states
enwiki-h1-0008	enwiki	category_dag	865456	Energy	27794402	Steam_turbines	steam turbines	966100	Turbines	turbines	1	Steam_turbines	raw	steam turbines	Turbines	raw	turbines
enwiki-h1-0009	enwiki	category_dag	692903	Engineering	14661580	Engineering_organizations	engineering organizations	692903	Engineering	engineering	1	Engineering_organizations	raw	engineering organizations	Engineering	raw	engineering
enwiki-h1-0010	enwiki	category_dag	60023454	Entities	9074974	Former_entities	former entities	60023454	Entities	entities	1	Former_entities	raw	former entities	Entities	raw	entities
enwiki-h1-0011	enwiki	category_dag	694860	Food_and_drink	6347960	Food_allergy_organizations	food allergy organizations	15702781	Food_allergies	food allergies	1	Food_allergy_organizations	raw	food allergy organizations	Food_allergies	raw	food allergies
enwiki-h1-0012	enwiki	category_dag	693800	Geography	705498	Deserts	deserts	693800	Geography	geography	1	Deserts	raw	deserts	Geography	raw	geography
enwiki-h1-0013	enwiki	category_dag	697609	Government	25363736	Former_government_ministries	former government ministries	4677126	Government_ministries	government ministries	1	Former_government_ministries	raw	former government ministries	Government_ministries	raw	government ministries
enwiki-h1-0014	enwiki	category_dag	751381	Health	15335883	Paraphilias	paraphilias	28264853	Sexual_disorders	sexual disorders	1	Paraphilias	raw	paraphilias	Sexual_disorders	raw	sexual disorders
enwiki-h1-0015	enwiki	category_dag	693555	History	79482448	New_Zealand_male_biographers	new zealand male biographers	46687935	Male_biographers	male biographers	1	New_Zealand_male_biographers	raw	new zealand male biographers	Male_biographers	raw	male biographers
enwiki-h1-0016	enwiki	category_dag	1004110	Humanities	27624683	Humanities_education	humanities education	1004110	Humanities	humanities	1	Humanities_education	raw	humanities education	Humanities	raw	humanities
enwiki-h1-0017	enwiki	category_dag	1009209	Information	54649010	Pragmatics_works	pragmatics works	37691471	Academic_works_about_semiotics	academic works about semiotics	1	Pragmatics_works	raw	pragmatics works	Academic_works_about_semiotics	raw	academic works about semiotics
enwiki-h1-0018	enwiki	category_dag	700914	Knowledge	45111777	Guinness_World_Records	guinness world records	5752924	Trivia_books	trivia books	1	Guinness_World_Records	raw	guinness world records	Trivia_books	raw	trivia books
