# node_title	root_title	cur_relation	conf	neighborhood	node_type	root_type	raw
Applied_philosophy	Applied_disciplines	subcategory	1.0	transitive_h1	category	category	
Works_about_competitions	Works_about_behavior	subcategory	1.0	transitive_h1	category	category	
Business_theorists	People_in_business-related_occupations	subcategory	1.0	transitive_h1	category	category	
Works_about_information	Information	subcategory	1.0	transitive_h1	category	category	
Techniques_and_principles_related_to_heraldic_tinctures	Principles	subcategory	1.0	transitive_h1	category	category	
Korean_cuisine-related_lists	Cuisine-related_lists	subcategory	1.0	transitive_h1	category	category	
Cultural_economics	Culture_and_economy	subcategory	1.0	transitive_h1	category	category	
New_York_State_Education_Department	State_departments_of_education_of_the_United_States	subcategory	1.0	transitive_h1	category	category	
Steam_turbines	Turbines	subcategory	1.0	transitive_h1	category	category	
Engineering_organizations	Engineering	subcategory	1.0	transitive_h1	category	category	
Former_entities	Entities	subcategory	1.0	transitive_h1	category	category	
Food_allergy_organizations	Food_allergies	subcategory	1.0	transitive_h1	category	category	
Deserts	Geography	subcategory	1.0	transitive_h1	category	category	
Former_government_ministries	Government_ministries	subcategory	1.0	transitive_h1	category	category	
Paraphilias	Sexual_disorders	subcategory	1.0	transitive_h1	category	category	
New_Zealand_male_biographers	Male_biographers	subcategory	1.0	transitive_h1	category	category	
Humanities_education	Humanities	subcategory	1.0	transitive_h1	category	category	
Pragmatics_works	Academic_works_about_semiotics	subcategory	1.0	transitive_h1	category	category	
Guinness_World_Records	Trivia_books	subcategory	1.0	transitive_h1	category	category	
Philosophy_of_language	Language	subcategory	1.0	transitive_h1	category	category	
Expansion_of_slavery_in_the_United_States	History_of_United_States_expansionism	subcategory	1.0	transitive_h1	category	category	
Types_of_trauma	Injuries	subcategory	1.0	transitive_h1	category	category	
Marketing_strategy	Marketing	subcategory	1.0	transitive_h1	category	category	
Lists_of_things_named_after_mathematicians	Mathematics-related_lists	subcategory	1.0	transitive_h1	category	category	
Nanotechnology_and_the_environment	Environmental_issues	subcategory	1.0	transitive_h1	category	category	
Women_and_philosophy	Philosophy	subcategory	1.0	transitive_h1	category	category	
Political_communication	Politics	subcategory	1.0	transitive_h1	category	category	
Weekly_Torah_readings_in_Tammuz_(Hebrew_month)	Tammuz_(Hebrew_month)	subcategory	1.0	transitive_h1	category	category	
Forensic_occupations	Science_occupations	subcategory	1.0	transitive_h1	category	category	
Sectarianism	Social_conflict	subcategory	1.0	transitive_h1	category	category	
Telerehabilitation	Telehealth	subcategory	1.0	transitive_h1	category	category	
22nd-century_lunar_eclipses	22nd-century_astronomical_events	subcategory	1.0	transitive_h1	category	category	
Physical_objects	Matter	subcategory	1.0	transitive_h1	category	category	
Specific_University_Curricula	Curricula	subcategory	1.0	transitive_h1	category	category	
Object_manipulation	Sleight_of_hand	subcategory	1.0	transitive_h1	category	category	
Agricultural_organisations_based_in_Malaysia	Business_organisations_based_in_Malaysia	subcategory	1.0	transitive_h1	category	category	
Cybernetics	Feedback	subcategory	1.0	transitive_h1	category	category	
Alien_language	Linguistic_theories_and_hypotheses	subcategory	1.0	transitive_h1	category	category	
Politics_in_culture	Topics_in_culture	subcategory	1.0	transitive_h1	category	category	
Conservative_Party_(UK)-related_lists	Conservative_Party_(UK)	subcategory	1.0	transitive_h1	category	category	
Outlines_of_education	Education	subcategory	1.0	transitive_h1	category	category	
Energy_sources	Energy	subcategory	1.0	transitive_h1	category	category	
Presidents_of_the_Women's_Engineering_Society	Women's_Engineering_Society	subcategory	1.0	transitive_h1	category	category	
Mathematical_structures	Structure	subcategory	1.0	transitive_h1	category	category	
Sports_drinks	Sports_nutrition	subcategory	1.0	transitive_h1	category	category	
Desertification	Deserts	subcategory	1.0	transitive_h1	category	category	
New_College_of_Florida	Public_honors_colleges	subcategory	1.0	transitive_h1	category	category	
Diet_food_writers	Health_and_wellness_writers	subcategory	1.0	transitive_h1	category	category	
Historians	History	subcategory	1.0	transitive_h1	category	category	
Mormon_studies	Christianity_studies	subcategory	1.0	transitive_h1	category	category	
Applied_philosophy	Academic_disciplines	subcategory	1.0	transitive_h2	category	category	
Films_about_sexism	Works_about_sex	subcategory	1.0	transitive_h2	category	category	
Finance_occupations	Business	subcategory	1.0	transitive_h2	category	category	
Winnie-the-Pooh	Short_stories_about_talking_objects	subcategory	1.0	transitive_h2	category	category	
Nostratic_languages	Theories	subcategory	1.0	transitive_h2	category	category	
Cheating_in_gambling	Culture	subcategory	1.0	transitive_h2	category	category	
Forestry-related_lists	Economy-related_lists	subcategory	1.0	transitive_h2	category	category	
Student_mass_media	Education	subcategory	1.0	transitive_h2	category	category	
Directed-energy_weapons	Energy	subcategory	1.0	transitive_h2	category	category	
Human_Genome_Project_scientists	Engineering	subcategory	1.0	transitive_h2	category	category	
Sinkholes	Objects	subcategory	1.0	transitive_h2	category	category	
Eating_parties	Dining	subcategory	1.0	transitive_h2	category	category	
National_Geospatial-Intelligence_Agency	Geographic_data_and_information_organizations	subcategory	1.0	transitive_h2	category	category	
Vassal_rulers	Government	subcategory	1.0	transitive_h2	category	category	
Hospitals_in_Guinea-Bissau	Healthcare_in_Guinea-Bissau	subcategory	1.0	transitive_h2	category	category	
History_portal	History	subcategory	1.0	transitive_h2	category	category	
Language_teachers	Humanities_education	subcategory	1.0	transitive_h2	category	category	
Mathematics_occupations	Information	subcategory	1.0	transitive_h2	category	category	
Parables_of_Jesus	Wisdom_literature	subcategory	1.0	transitive_h2	category	category	
ISO_639	Language	subcategory	1.0	transitive_h2	category	category	
Medical_jurisprudence	Law	subcategory	1.0	transitive_h2	category	category	
Films_about_phoenixes	Phoenix_birds	subcategory	1.0	transitive_h2	category	category	
Religious_software	Spiritual_media	subcategory	1.0	transitive_h2	category	category	
Pharmacognosists	Natural_sciences	subcategory	1.0	transitive_h2	category	category	
Faculties_of_philosophy_in_Brazil	Philosophy_organizations	subcategory	1.0	transitive_h2	category	category	
Democratic_Party_presidential_debates	Leaders'_debates	subcategory	1.0	transitive_h2	category	category	
Biblical_dreams_and_visions	Religion	subcategory	1.0	transitive_h2	category	category	
Polar_exploration	Science	subcategory	1.0	transitive_h2	category	category	
Town_and_country_planning_in_Turkey	Rural_society_in_Europe	subcategory	1.0	transitive_h2	category	category	
Technology_evangelists	Technology	subcategory	1.0	transitive_h2	category	category	
Time_signals	Time	subcategory	1.0	transitive_h2	category	category	
Christian_Old_Earth_creationists	Creationism	subcategory	1.0	transitive_h2	category	category	
Constitutional_history_of_Russia	Legal_history	subcategory	1.0	transitive_h2	category	category	
Sexual_selection	Behavior	subcategory	1.0	transitive_h2	category	category	
Spouses_of_Australian_politicians	Official_social_partners_of_politicians	subcategory	1.0	transitive_h2	category	category	
Data_and_information_visualization_experts	Information	subcategory	1.0	transitive_h2	category	category	
Difference	Concepts	subcategory	1.0	transitive_h2	category	category	
British_Pakistani_mass_media	Ethnic_mass_media	subcategory	1.0	transitive_h2	category	category	
Supply_chain_management	Supply_networks	subcategory	1.0	transitive_h2	category	category	
Semester_at_sea_programs	Education	subcategory	1.0	transitive_h2	category	category	
Wind_energy_cooperatives	Energy_cooperatives	subcategory	1.0	transitive_h2	category	category	
Graphene	Nanomaterials	subcategory	1.0	transitive_h2	category	category	
Singularitarianism	Philosophy_of_mind	subcategory	1.0	transitive_h2	category	category	
Cake_decorating	Food_and_drink	subcategory	1.0	transitive_h2	category	category	
Geocodes	Geography_terminology	subcategory	1.0	transitive_h2	category	category	
Religion_in_the_Israel_Defense_Forces	Religion_and_government	subcategory	1.0	transitive_h2	category	category	
Health_and_video_gaming	Health	subcategory	1.0	transitive_h2	category	category	
Books_about_economic_crises	Works_about_economic_history	subcategory	1.0	transitive_h2	category	category	
Museum_education	Humanities	subcategory	1.0	transitive_h2	category	category	
Internet_privacy_organizations	Information_privacy	subcategory	1.0	transitive_h2	category	category	
Liberal_arts_colleges_in_the_Philippines	Academic_disciplines	subcategory	1.0	transitive_h3	category	category	
Mimicry	Behavior	subcategory	1.0	transitive_h3	category	category	
Labor_relations_boards	Labour_law	subcategory	1.0	transitive_h3	category	category	
Comparison_of_Germanic_languages_and_dialects	Information	subcategory	1.0	transitive_h3	category	category	
String_metrics	Concepts	subcategory	1.0	transitive_h3	category	category	
Christian_orders,_decorations,_and_medals	Culture	subcategory	1.0	transitive_h3	category	category	
Vacuum_cleaners	Consumer_goods	subcategory	1.0	transitive_h3	category	category	
Western_University_of_Health_Sciences	Learning_methods	subcategory	1.0	transitive_h3	category	category	
King_Fahd_University_of_Petroleum_and_Minerals_alumni	Energy_education	subcategory	1.0	transitive_h3	category	category	
Lime_kilns	Engineering	subcategory	1.0	transitive_h3	category	category	
Mental_disorders	Entities	subcategory	1.0	transitive_h3	category	category	
Military_food_of_Canada	Food_and_drink	subcategory	1.0	transitive_h3	category	category	
Titles_in_Bosnia	Geographical_regions	subcategory	1.0	transitive_h3	category	category	
