pair_id	source_index	subset_index	hop	descendant_title_audit_action	ancestor_title_audit_action	raw_D	audited_D	delta_D	raw_S	audited_S	delta_S	raw_D_relation	audited_D_relation	raw_S_relation	audited_S_relation	response_changed	raw_response_sha256	audited_response_sha256
pearltrees-h1-0003	3	0	1	corrected	raw	0.45	0.65	0.2	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	e02160384f577a3d60abe9921a28de8c6484f9e9a1a3b692bbff32d528a1e643	eca55100a3cb43292bf04954958ac062264874e59a8e99bec784b8984c886c95
pearltrees-h1-0004	4	1	1	raw	corrected	0.8	0.85	0.05	0.45	0.4	-0.05	subtopic	subtopic	see_also	assoc	true	0a3d1dd19d1c8336837462789fc6988ea2520c6275e7a7df49f27935ad25aaf7	7892ea4e92bf95de7eb727723fa3ca45e0aa2b4074a3f7f8282bf5a1b1b4dbe8
pearltrees-h1-0008	8	2	1	corrected	raw	0.25	0.45	0.2	0.35	0.55	0.2	subtopic	subtopic	assoc	assoc	true	8a522783419a6b2ead454fe03b88dda41cf049fc757e24ecd8a49be048808165	153f8c8a9a1ce4a450d5444f101fb56d1bc49a6f9adbbc58bd02567e271c0a4c
pearltrees-h1-0010	10	3	1	raw	corrected	0.75	0.75	0	0.35	0.55	0.2	subtopic	subtopic	assoc	assoc	true	54b7e9f995583dbf7301f228f5bbde25d6893237ae6f4b345f239f12e0a5dbaa	6fc093b829c856c2004bfd43609d20d1750f6b498ac1d50c8960b360b2537628
pearltrees-h1-0017	17	4	1	corrected	corrected	0.85	0.9	0.05	0.4	0.5	0.1	subtopic	subtopic	assoc	assoc	true	26ab8f8eb904cdbfcc2ce6f7fae4dcf9952746b5e8957a9fc70d70e09cea66be	e73f8911ec3ce9a83acde80d66da0a027e576c2aeb0e3b769f9f043eeef5e683
pearltrees-h1-0022	22	5	1	corrected	raw	0.65	0.55	-0.1	0.55	0.6	0.05	subtopic	subtopic	assoc	assoc	true	d1dd22141c3bdc67d59c41c0d2fc2e776bc778aec5d257bf131877f08c7ad525	b5b7d35ac76e479ca14d339258cb070160b100b956d868fe14a21acb766a29a1
pearltrees-h1-0036	36	6	1	corrected	raw	0.85	0.85	0	0.35	0.35	0	subcategory	subcategory	see_also	assoc	true	bb510dcdf40c510a3ab2e28e907c9c972da913bd6dc7d4769e769071f7cbecf7	acf30bb7121c007af30a8251640a23dcbe0536d3581a9f282d3f977106c2f43a
pearltrees-h1-0043	43	7	1	corrected	raw	0.55	0.55	0	0.45	0.65	0.2	subtopic	subtopic	assoc	assoc	true	76906cc8f1f2a126b41a0097529a8315184ee95de53d3daa503199a05e9f6b99	725c1680b46c9b357597b8c1cdf465cbb28bbbb84f5fda2afbaf7a7d89bbce22
pearltrees-h1-0044	44	8	1	corrected	raw	0.7	0.85	0.15	0.35	0.35	0	subtopic	subtopic	assoc	assoc	true	0e27b42bc25bdec34e3eadab16e2823f851e54db8dbed328607e944cde2048fd	c6a01ee991ac6160b129d76f8d63ef27bdbd621a2d8a3db433244cd552711fe4
pearltrees-h1-0049	49	9	1	raw	corrected	0.75	0.75	0	0.45	0.65	0.2	subtopic	subtopic	assoc	assoc	true	2122e151ddec87f291459c4c6b2238e797e3a640650715bc628fcd67c9e17ac2	f7078198400a740fefe773cb99e538ebe74288ef9522a0d89d0d14e12ebcbcde
