pair_id	corpus	graph_view	account	branch_id	branch_title	source_tree_ids	source_record_count	descendant_id	descendant_title	descendant_title_aliases	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_title_aliases	ancestor_normalized_title	hop	descendant_raw_title	descendant_title_audit_action	descendant_canonical_identity	ancestor_raw_title	ancestor_title_audit_action	ancestor_canonical_identity
pearltrees-h1-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11101424	1	11101424	Technology Science & Engineering Forums	"[""Technology Science &amp; Engineering Forums""]"	technology science & engineering forums	11101419	forums	[]	forums	1	Technology Science & Engineering Forums	raw	technology science & engineering forums	forums	raw	forums
pearltrees-h1-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908042	Manufacturing Technology	[]	manufacturing technology	1	Building a Computer (How to)	raw	building a computer (how to)	Manufacturing Technology	raw	manufacturing technology
pearltrees-h1-0002	pearltrees	principal_path_lineage	s243a	69093604	Aluminum combustion	69093684	1	69093684	Twin Towers & Aluminum combustion	"[""Twin Towers &amp; Aluminum combustion""]"	twin towers & aluminum combustion	69093604	Aluminum combustion	[]	aluminum combustion	1	Twin Towers & Aluminum combustion	raw	twin towers & aluminum combustion	Aluminum combustion	raw	aluminum combustion
pearltrees-h1-0003	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046	1	11728045	Anti-Democratic Think Tank Positions	[]	anti-democratic think tank positions	11728008	Power & Motivation (Political Philosophy)	[]	power & motivation (political philosophy)	1	Anti-Democractic Think Tank Positions	corrected	anti-democratic think tank positions	Power & Motivation (Political Philosophy)	raw	power & motivation (political philosophy)
pearltrees-h1-0004	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495604	Holonomic system	[]	holonomic system	11495603	Constraints (Classical Mechanics)	[]	constraints (classical mechanics)	1	Holonomic system	raw	holonomic system	Constraints (Clasical Mechanics)	corrected	constraints (classical mechanics)
pearltrees-h1-0005	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263727	Dystopic Fiction	[]	dystopic fiction	10489978	Fiction	[]	fiction	1	Dystopic Fiction	raw	dystopic fiction	Fiction	raw	fiction
pearltrees-h1-0006	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	81150192	1	81150191	The Business of Artificial Intelligence	[]	the business of artificial intelligence	10658342	Artificial Intelligence	[]	artificial intelligence	1	The Business of Artificial Intelligence	raw	the business of artificial intelligence	Artificial Intelligence	raw	artificial intelligence
pearltrees-h1-0007	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	10628300	1	10628300	Roundtripping	[]	roundtripping	10628297	Accounting Manipulation Schemes	[]	accounting manipulation schemes	1	Roundtripping	raw	roundtripping	Accounting Manipulation Schemes	raw	accounting manipulation schemes
pearltrees-h1-0008	pearltrees	principal_path_lineage	s243a	10490508	Byfracating legislation & lichpins	10490516	1	10490516	We the corporations	[]	we the corporations	10490508	Byfracating legislation & lichpins	[]	byfracating legislation & lichpins	1	We the corperations	corrected	we the corporations	Byfracating legislation & lichpins	raw	byfracating legislation & lichpins
pearltrees-h1-0009	pearltrees	principal_path_lineage	s243a	60480986	Cognition	76144475,81305419	2	76144475	Learning	[]	learning	60480986	Cognition	[]	cognition	1	Learning	raw	learning	Cognition	raw	cognition
pearltrees-h1-0010	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	11207530	Intellectual Property	[]	intellectual property	1	news.EFF.Patent	raw	news.eff.patent	Intelectual Property	corrected	intellectual property
pearltrees-h1-0011	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10556392	1	10556392	Alleged Monsanto Connections	[]	alleged monsanto connections	10556389	Monsanto	[]	monsanto	1	Alleged Monsanto Connections	raw	alleged monsanto connections	Monsanto	raw	monsanto
pearltrees-h1-0012	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517701	Big Brother Govs & Corps (Books)	[]	big brother govs & corps (books)	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	1	Big Brother Govs & Corps (Books)	raw	big brother govs & corps (books)	Corporate Privacy attacks	raw	corporate privacy attacks
pearltrees-h1-0013	pearltrees	principal_path_lineage	s243a	23549372	Datascience (puppylinux)	23562907	1	23562907	Geography (Puppylinux)	[]	geography (puppylinux)	23549372	Datascience (puppylinux)	[]	datascience (puppylinux)	1	Geography (Puppylinux)	raw	geography (puppylinux)	Datascience (puppylinux)	raw	datascience (puppylinux)
pearltrees-h1-0014	pearltrees	principal_path_lineage	s243a	72195805	Deontology (AKA Deontological ethics)	72196816	1	72196816	Kantianism	[]	kantianism	72195805	Deontology (AKA Deontological ethics)	[]	deontology (aka deontological ethics)	1	Kantianism	raw	kantianism	Deontology (AKA Deontological ethics)	raw	deontology (aka deontological ethics)
pearltrees-h1-0015	pearltrees	principal_path_lineage	s243a	10490022	Education	8388835	1	11423696	Education by other Pearlers	[]	education by other pearlers	10490022	Education	[]	education	1	Education by other Pearlers	raw	education by other pearlers	Education	raw	education
pearltrees-h1-0016	pearltrees	principal_path_lineage	s243a	10390752	ethics	10524391,10586002,10757738,10757758,10761044,11088198,11262653,11395179,14876580,15641967,15642064	11	10543559	Theories of Influence	[]	theories of influence	10541948	Social Control	[]	social control	1	Theories of Influence	raw	theories of influence	Social Control	raw	social control
pearltrees-h1-0017	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	12613895	1	12613895	Criticism of religion	[]	criticism of religion	10370051	Religion	[]	religion	1	Criticism of relegion	corrected	criticism of religion	Relegion	corrected	religion
pearltrees-h1-0018	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	15102179	1	10950335	Keeping Down Black Power	[]	keeping down black power	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	1	Keeping Down Black Power	raw	keeping down black power	Counter-activism & Counter-Revolutions	raw	counter-activism & counter-revolutions
pearltrees-h1-0019	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	1	Apocalyptic novels	raw	apocalyptic novels	Apocalyptic Fiction	raw	apocalyptic fiction
pearltrees-h1-0020	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	11743387	Genocides & Holocausts	[]	genocides & holocausts	10518564	Genocide	[]	genocide	1	Genocides & Holocausts	raw	genocides & holocausts	Genocide	raw	genocide
pearltrees-h1-0021	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10399693	policy	[]	policy	1	Geo Politics	raw	geo politics	policy	raw	policy
pearltrees-h1-0022	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satanism (Documentary)	[]	symbols of satanism (documentary)	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	1	Symbols of Satinism (Documentary)	corrected	symbols of satanism (documentary)	eyes-symbols-history-s243a	raw	eyes-symbols-history-s243a
pearltrees-h1-0023	pearltrees	principal_path_lineage	s243a	10323424	groups	10425296	1	10425297	Torture	[]	torture	10388463	clandestine	[]	clandestine	1	Torture	raw	torture	clandestine	raw	clandestine
pearltrees-h1-0024	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10741831,11446295,11746501,15698962	4	10676482	Poverty	[]	poverty	10455187	Social Sciences	[]	social sciences	1	Poverty	raw	poverty	Social Sciences	raw	social sciences
