pair_id	corpus	graph_view	account	branch_id	branch_title	source_tree_ids	source_record_count	descendant_id	descendant_title	descendant_title_aliases	descendant_normalized_title	ancestor_id	ancestor_title	ancestor_title_aliases	ancestor_normalized_title	hop
pearltrees-h1-0000	pearltrees	principal_path_lineage	s243a	11820376	2 - root node (my real tree Pearl Trees Version 1.0)	11101424	1	11101424	Technology Science & Engineering Forums	"[""Technology Science &amp; Engineering Forums""]"	technology science & engineering forums	11101419	forums	[]	forums	1
pearltrees-h1-0001	pearltrees	principal_path_lineage	s243a	10908045	3D Printing	15768543	1	15768543	Building a Computer (How to)	[]	building a computer (how to)	10908042	Manufacturing Technology	[]	manufacturing technology	1
pearltrees-h1-0002	pearltrees	principal_path_lineage	s243a	69093604	Aluminum combustion	69093684	1	69093684	Twin Towers & Aluminum combustion	"[""Twin Towers &amp; Aluminum combustion""]"	twin towers & aluminum combustion	69093604	Aluminum combustion	[]	aluminum combustion	1
pearltrees-h1-0003	pearltrees	principal_path_lineage	s243a	10455430	Animal Farm	11728046	1	11728045	Anti-Democractic Think Tank Positions	[]	anti-democractic think tank positions	11728008	Power & Motivation (Political Philosophy)	[]	power & motivation (political philosophy)	1
pearltrees-h1-0004	pearltrees	principal_path_lineage	s243a	10646352	Antenna	11495604	1	11495604	Holonomic system	[]	holonomic system	11495603	Constraints (Clasical Mechanics)	[]	constraints (clasical mechanics)	1
pearltrees-h1-0005	pearltrees	principal_path_lineage	s243a	10489980	Apocalyptic Fiction	66164446	1	11263727	Dystopic Fiction	[]	dystopic fiction	10489978	Fiction	[]	fiction	1
pearltrees-h1-0006	pearltrees	principal_path_lineage	s243a	10658342	Artificial Intelligence	81150192	1	81150191	The Business of Artificial Intelligence	[]	the business of artificial intelligence	10658342	Artificial Intelligence	[]	artificial intelligence	1
pearltrees-h1-0007	pearltrees	principal_path_lineage	s243a	10455231	Bitcoin 2.0	10628300	1	10628300	Roundtripping	[]	roundtripping	10628297	Accounting Manipulation Schemes	[]	accounting manipulation schemes	1
pearltrees-h1-0008	pearltrees	principal_path_lineage	s243a	10490508	Byfracating legislation & lichpins	10490516	1	10490516	We the corperations	[]	we the corperations	10490508	Byfracating legislation & lichpins	[]	byfracating legislation & lichpins	1
pearltrees-h1-0009	pearltrees	principal_path_lineage	s243a	60480986	Cognition	76144475,81305419	2	76144475	Learning	[]	learning	60480986	Cognition	[]	cognition	1
pearltrees-h1-0010	pearltrees	principal_path_lineage	s243a	10892135	copyright	10391146	1	10391146	news.EFF.Patent	"[""News.EFF.Patent""]"	news.eff.patent	11207530	Intelectual Property	[]	intelectual property	1
pearltrees-h1-0011	pearltrees	principal_path_lineage	s243a	10518894	Corruption & Retribution	10556392	1	10556392	Alleged Monsanto Connections	[]	alleged monsanto connections	10556389	Monsanto	[]	monsanto	1
pearltrees-h1-0012	pearltrees	principal_path_lineage	s243a	10459350	Darknet & The Deep Web	10517704	1	10517701	Big Brother Govs & Corps (Books)	[]	big brother govs & corps (books)	10494970	Corporate Privacy attacks	[]	corporate privacy attacks	1
pearltrees-h1-0013	pearltrees	principal_path_lineage	s243a	23549372	Datascience (puppylinux)	23562907	1	23562907	Geography (Puppylinux)	[]	geography (puppylinux)	23549372	Datascience (puppylinux)	[]	datascience (puppylinux)	1
pearltrees-h1-0014	pearltrees	principal_path_lineage	s243a	72195805	Deontology (AKA Deontological ethics)	72196816	1	72196816	Kantianism	[]	kantianism	72195805	Deontology (AKA Deontological ethics)	[]	deontology (aka deontological ethics)	1
pearltrees-h1-0015	pearltrees	principal_path_lineage	s243a	10490022	Education	8388835	1	11423696	Education by other Pearlers	[]	education by other pearlers	10490022	Education	[]	education	1
pearltrees-h1-0016	pearltrees	principal_path_lineage	s243a	10390752	ethics	10524391,10586002,10757738,10757758,10761044,11088198,11262653,11395179,14876580,15641967,15642064	11	10543559	Theories of Influence	[]	theories of influence	10541948	Social Control	[]	social control	1
pearltrees-h1-0017	pearltrees	principal_path_lineage	s243a	10369724	eyes-symbols-history-s243a	12613895	1	12613895	Criticism of relegion	[]	criticism of relegion	10370051	Relegion	[]	relegion	1
pearltrees-h1-0018	pearltrees	principal_path_lineage	s243a	10343209	FBI-history-s243a	15102179	1	10950335	Keeping Down Black Power	[]	keeping down black power	10600494	Counter-activism & Counter-Revolutions	[]	counter-activism & counter-revolutions	1
pearltrees-h1-0019	pearltrees	principal_path_lineage	s243a	10489978	Fiction	66164325	1	66164325	Apocalyptic novels	[]	apocalyptic novels	10489980	Apocalyptic Fiction	[]	apocalyptic fiction	1
pearltrees-h1-0020	pearltrees	principal_path_lineage	s243a	10518564	Genocide	13691481	1	11743387	Genocides & Holocausts	[]	genocides & holocausts	10518564	Genocide	[]	genocide	1
pearltrees-h1-0021	pearltrees	principal_path_lineage	s243a	10646429	geopolitics	10904768	1	10904768	Geo Politics	[]	geo politics	10399693	policy	[]	policy	1
pearltrees-h1-0022	pearltrees	principal_path_lineage	s243a	10371461	Gods of Earth and Nature	10371330	1	10371330	Symbols of Satinism (Documentary)	[]	symbols of satinism (documentary)	10369724	eyes-symbols-history-s243a	[]	eyes-symbols-history-s243a	1
pearltrees-h1-0023	pearltrees	principal_path_lineage	s243a	10323424	groups	10425296	1	10425297	Torture	[]	torture	10388463	clandestine	[]	clandestine	1
pearltrees-h1-0024	pearltrees	principal_path_lineage	s243a	10390869	History by Region / place	10741831,11446295,11746501,15698962	4	10676482	Poverty	[]	poverty	10455187	Social Sciences	[]	social sciences	1
pearltrees-h1-0025	pearltrees	principal_path_lineage	s243a	11257760	holocausts	12795827,14468099,14696442	3	11743368	The native American genocide/holocaust	[]	the native american genocide/holocaust	11257760	holocausts	[]	holocausts	1
pearltrees-h1-0026	pearltrees	principal_path_lineage	s243a	70315977	Human communication	70316192	1	70316192	Language	[]	language	70315977	Human communication	[]	human communication	1
pearltrees-h1-0027	pearltrees	principal_path_lineage	s243a	11636363	humanities & social sciences	11431022	1	11431022	psychology society	"[""Psychology society""]"	psychology society	10889076	society	[]	society	1
pearltrees-h1-0028	pearltrees	principal_path_lineage	s243a	10676595	integral	10516833	1	10516833	Probability & Statistics	"[""Probability &amp; Statistics""]"	probability & statistics	10676595	integral	[]	integral	1
pearltrees-h1-0029	pearltrees	principal_path_lineage	s243a	10541842	Language, Literature & Other arts	12053776	1	12053776	emotions (language)	"[""Emotions (language)""]"	emotions (language)	10541842	Language, Literature & Other arts	[]	language, literature & other arts	1
pearltrees-h1-0030	pearltrees	principal_path_lineage	s243a	10455428	Literary Portrayals of Totalitarianism	10455431	1	10455431	Preface to Animal Farm	[]	preface to animal farm	10455430	Animal Farm	[]	animal farm	1
pearltrees-h1-0031	pearltrees	principal_path_lineage	s243a	11056503	Man in the MIddle	10769144	1	11056507	NSA & Man in the Middle	[]	nsa & man in the middle	11056503	Man in the MIddle	[]	man in the middle	1
