pair_id	source_index	subset_index	hop	descendant_title_audit_action	ancestor_title_audit_action	raw_D	audited_D	delta_D	raw_S	audited_S	delta_S	raw_D_relation	audited_D_relation	raw_S_relation	audited_S_relation	response_changed	raw_response_sha256	audited_response_sha256
pearltrees-h1-0003	3	0	1	corrected	raw	0.45	0.55	0.1	0.45	0.35	-0.1	subtopic	subtopic	assoc	assoc	true	e02160384f577a3d60abe9921a28de8c6484f9e9a1a3b692bbff32d528a1e643	824aa1d2f27672bfe6352647b53236ea6574bb11a6b371e380cefa341160c040
pearltrees-h1-0004	4	1	1	raw	corrected	0.8	0.85	0.05	0.45	0.3	-0.15	subtopic	subtopic	see_also	assoc	true	0a3d1dd19d1c8336837462789fc6988ea2520c6275e7a7df49f27935ad25aaf7	f579b3bbba2b7a4d8efa97060494739664af22e913f7c0540bd3c03f18d1a2fe
pearltrees-h1-0008	8	2	1	corrected	raw	0.25	0.55	0.3	0.35	0.55	0.2	subtopic	subtopic	assoc	assoc	true	8a522783419a6b2ead454fe03b88dda41cf049fc757e24ecd8a49be048808165	4a2fc850ad9b3b2ccbe536222528334af02d9defdfddb5760fbbd4cd89d59e39
pearltrees-h1-0010	10	3	1	raw	corrected	0.75	0.8	0.05	0.35	0.5	0.15	subtopic	subtopic	assoc	assoc	true	54b7e9f995583dbf7301f228f5bbde25d6893237ae6f4b345f239f12e0a5dbaa	9d84a318fcfa18e21459e1fcc2b5a786fd019d1a17eca132a328c3f2ee4adda7
pearltrees-h1-0017	17	4	1	corrected	corrected	0.85	0.9	0.05	0.4	0.45	0.05	subtopic	subtopic	assoc	assoc	true	26ab8f8eb904cdbfcc2ce6f7fae4dcf9952746b5e8957a9fc70d70e09cea66be	aad75260139ca36aa97a6c703418ca5ee0ca2865985a1d7f85c5a355adf0afaf
pearltrees-h1-0022	22	5	1	corrected	raw	0.65	0.55	-0.1	0.55	0.45	-0.1	subtopic	subtopic	assoc	assoc	true	d1dd22141c3bdc67d59c41c0d2fc2e776bc778aec5d257bf131877f08c7ad525	198f8d2e938b672c8bfed36d7092f43a8f61e21738277a0f4fc81bda72406ea4
pearltrees-h1-0036	36	6	1	corrected	raw	0.85	0.8	-0.05	0.35	0.35	0	subcategory	subcategory	see_also	see_also	true	bb510dcdf40c510a3ab2e28e907c9c972da913bd6dc7d4769e769071f7cbecf7	de86f97354ef9b05e36d68f58332940cb07b91f55062c379e1d237af3e222760
pearltrees-h1-0043	43	7	1	corrected	raw	0.55	0.5	-0.05	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	76906cc8f1f2a126b41a0097529a8315184ee95de53d3daa503199a05e9f6b99	b4bb3d25d1eb34be6e6128ff929683c8a6aa4c9c5049cbf341e51349175f4649
pearltrees-h1-0044	44	8	1	corrected	raw	0.7	0.85	0.15	0.35	0.3	-0.05	subtopic	subtopic	assoc	see_also	true	0e27b42bc25bdec34e3eadab16e2823f851e54db8dbed328607e944cde2048fd	5e0e8d1bf131003cc2fe49a7576653634076e81e70bc74128addaf82c915703d
pearltrees-h1-0049	49	9	1	raw	corrected	0.75	0.75	0	0.45	0.55	0.1	subtopic	subtopic	assoc	assoc	true	2122e151ddec87f291459c4c6b2238e797e3a640650715bc628fcd67c9e17ac2	26b34eefdb47fa2356eebecf19afa5f456e086bc33169568d81dc01e26fbbedb
