# node_title	root_title	cur_relation	conf	neighborhood	node_type	root_type	raw
Anti-Democractic Think Tank Positions	Power & Motivation (Political Philosophy)	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Holonomic system	Constraints (Clasical Mechanics)	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
We the corperations	Byfracating legislation & lichpins	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
news.EFF.Patent	Intelectual Property	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Criticism of relegion	Relegion	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Symbols of Satinism (Documentary)	eyes-symbols-history-s243a	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
MPs (Canadian Politicans)	Canadian Politicians	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Acountability	Social Forces	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
The Afganastan Media	Media in _ country	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
The MOVE bombing	The Militerization of the Police	subtopic	1.0	principal_h1	pearltrees_collection	pearltrees_collection	
Constraints (Clasical Mechanics)	Physics	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Business process	Acounting	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Intelectual Property	copyright	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
adiction	Political Psycology	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Culture (Sociology)	Relegion	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Symbols of Satinism (Documentary)	symbols-history	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
1984 immages	Collective Moods & dispositions	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Blaming the Victum	philosophy	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
The Militerization of the Police	The Dividing of People's with lines on the map	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Electricity & Magnitism (Physics)	Antenna	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
Managerial Science	Acounting	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
news.EFF.Patent	Copyright & Free Speach	subtopic	1.0	principal_h2	pearltrees_collection	pearltrees_collection	
The Crises in Democarcy	Literary Portrayals of Totalitarianism	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Criticism of relegion	History by Region / place	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Cynacism on Justice & Inequality	s243a-cynicism	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Arthur Schopenhauer	Intelectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
transparancy	Illusions	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Constraints (Clasical Mechanics)	Electricity & Magnitism (Physics)	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Dec 9, 2013 Standford pres Bitcoin, Bobby C. Lee, BTC China	Bitcoin 2.0	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
Monsto's connections	Corruption & Retribution	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
George Wilhelm Fredrich Hegel	Intelectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h3	pearltrees_collection	pearltrees_collection	
The Crises in Democarcy	Animal Farm	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Alcohol	Relegion	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
LOGO	Net Nutrality and Society	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Ukrain	History by Region / place	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Constraints (Clasical Mechanics)	Signals & communication	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Showtime	Net Nutrality and Society	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Holonomic system	Electricity & Magnitism (Physics)	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Miss Representation	Relegion	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Symbols of Satinism (Documentary)	history	subtopic	1.0	principal_h4	pearltrees_collection	pearltrees_collection	
Constraints (Clasical Mechanics)	Antenna	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Corporate Facism	philosophy	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Books by Peter Kropotkin	Intelectuals & Notable Non-Fiction Writers	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Money in Tennesse Politics	Illusions	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Cynacism & History Sterotypes	eyes-symbols-history-s243a	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Cynacism	wikis	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
The Phenomenology of Spirit, Hagel	people	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Part 5 - Drone Nation (counter intellegence)	Social Media	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
The Isreal Palistine Conflict	History by Region / place	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Symbols of Satinism (Documentary)	Mythology	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Part 4 - IV - Necrophilous (Counter Intellegence)	Social Media	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
Transitions to Totalitarism	Political Philosophy	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
1984 immages	s243a-wikispaces	subtopic	1.0	principal_h5	pearltrees_collection	pearltrees_collection	
