# node	root	cur_rel	neighborhood	judge	P[element_of]	P[subcategory]	P[subtopic]	P[super_category]	P[see_also]	P[assoc]	P[unknown]	P[none]	mu[element_of]	mu[subcategory]	mu[subtopic]	mu[super_category]	mu[see_also]	mu[assoc]	mu[unknown]	mu[none]	E_mu_fwd	E_mu_rev
Technology Science & Engineering Forums	forums	subtopic	principal_h1	gpt-5.5-low	0.176	0.275	0.235	0.039	0.078	0.137	0.039	0.020	0.350	0.650	0.550	0.050	0.150	0.250	0.100	0.000	0.422	0.108
Building a Computer (How to)	Manufacturing Technology	subtopic	principal_h1	gpt-5.5-low	0.103	0.154	0.231	0.026	0.077	0.231	0.077	0.103	0.150	0.250	0.350	0.020	0.100	0.350	0.100	0.000	0.231	0.111
Twin Towers & Aluminum combustion	Aluminum combustion	subtopic	principal_h1	gpt-5.5-low	0.124	0.142	0.319	0.018	0.195	0.177	0.018	0.007	0.250	0.300	0.850	0.050	0.450	0.400	0.050	0.000	0.505	0.210
Anti-Democractic Think Tank Positions	Power & Motivation (Political Philosophy)	subtopic	principal_h1	gpt-5.5-low	0.049	0.098	0.268	0.024	0.122	0.268	0.098	0.073	0.050	0.150	0.450	0.030	0.200	0.450	0.150	0.000	0.298	0.174
Holonomic system	Constraints (Clasical Mechanics)	subtopic	principal_h1	gpt-5.5-low	0.124	0.160	0.319	0.018	0.195	0.160	0.018	0.007	0.250	0.350	0.800	0.050	0.450	0.350	0.050	0.000	0.488	0.196
Dystopic Fiction	Fiction	subtopic	principal_h1	gpt-5.5-low	0.056	0.353	0.316	0.019	0.112	0.130	0.011	0.004	0.100	0.900	0.750	0.050	0.250	0.250	0.030	0.000	0.622	0.112
The Business of Artificial Intelligence	Artificial Intelligence	subtopic	principal_h1	gpt-5.5-low	0.041	0.143	0.367	0.012	0.184	0.224	0.020	0.008	0.050	0.250	0.850	0.020	0.350	0.450	0.050	0.000	0.517	0.203
Roundtripping	Accounting Manipulation Schemes	subtopic	principal_h1	gpt-5.5-low	0.227	0.196	0.272	0.015	0.136	0.136	0.012	0.006	0.650	0.550	0.800	0.050	0.350	0.350	0.040	0.000	0.569	0.147
We the corperations	Byfracating legislation & lichpins	subtopic	principal_h1	gpt-5.5-low	0.042	0.079	0.183	0.016	0.105	0.236	0.183	0.157	0.050	0.100	0.250	0.020	0.150	0.350	0.250	0.000	0.200	0.139
Learning	Cognition	subtopic	principal_h1	gpt-5.5-low	0.109	0.201	0.347	0.018	0.164	0.146	0.011	0.004	0.200	0.450	0.900	0.050	0.350	0.300	0.030	0.000	0.527	0.160
