# REVIEW REQUIRED — no expansion applied without owner sign-off
dir	leaf	proposed_expansion	member_titles_sample
Myth	Myth		Myth & Error
Places/America/North/Can	Can	Canada	Canada
Places/America/North/USA	USA		USA
Subjects/sci	sci		
Subjects/sci/Ap	Ap	Applied	Applied Science
Subjects/sci/Ap/Info	Info	Information	Information science
Subjects/sci/Ap/Info/Arch	Arch	architecture	Information architecture
Subjects/sci/Ap/Info/Data	Data		Data mining
Subjects/sci/Ap/Info/Data/Algo	Algo	algorithms	Data mining algorithms
Subjects/sci/Ap/Info/Knowledge/Lang	Lang	languages	Knowledge representation languages
Subjects/sci/Ap/Info/Knowledge/Lang/CycL	CycL		CycL (Ontology Language)
Subjects/sci/Ap/Info/Knowledge/Onto	Onto	Ontology	Ontology (information science)
Subjects/sci/Ap/Info/Knowledge/Onto/Edit	Edit	editors	Ontology editors
Subjects/sci/Ap/Info/Knowledge/Soft	Soft	software	Knowledge representation software
Subjects/sci/Ap/Info/Knowledge/Soft/Map	Map	mapping	Concept- and mind-mapping software
Subjects/sci/Ap/Metr	Metr	Metrology	Metrology
Subjects/sci/Ap/Metr/Measure/Inst	Inst	instruments	Measuring instruments
Subjects/sci/Ap/Space/Astron	Astron	Astronomical	Astronomical sub-disciplines; Astronomy
Subjects/sci/Ap/Space/Astron/Obj	Obj	objects	Astronomical objects
Subjects/sci/Ap/Space/Astron/Obj/Co-orb/Troj	Troj	Trojans	Trojans (astronomy)
Subjects/sci/Ap/Space/Astron/Obj/Co-orb/Troj/MinorP	MinorP		Trojan minor planets
Subjects/sci/Ap/Space/Astron/Planet/Atm	Atm	atmospheres	Planetary atmospheres
Subjects/sci/Ap/Space/Astron/Planet/Def	Def	Definition	Definition of planet‎
Subjects/sci/Ap/Space/Astron/Planet/Exo	Exo	Exoplanetology	Exoplanetology‎
Subjects/sci/Ap/Space/Astron/Planet/Geo	Geo	Geography	Geography by planet
Subjects/sci/Ap/Space/Astron/Planet/Meteor/ites	ites		Meteorites
Subjects/sci/Ap/Space/Astron/Planet/Moon	Moon	Moons	Moons
Subjects/sci/Ap/Space/Astron/Planet/Moon/Moon	Moon		Moon
Subjects/sci/Ap/Space/Astron/Planet/Moon/Moon/Sci	Sci	science	Lunar science
Subjects/sci/Ap/Space/Astron/Planet/Planemo	Planemo	Planemos	Planemos (Planetary-mass objects)
Subjects/sci/Ap/Space/Astron/Planet/Planemo/Dwarf/Eris	Eris		Eris (dwarf planet)
Subjects/sci/Ap/Space/Astron/Planet/Planemo/Planet/PotSS	PotSS		Planets of the Solar System
Subjects/sci/Ap/Space/Astron/Planet/Planemo/Planet/PotSS/Mars	Mars		Mars
Subjects/sci/Ap/Space/Astron/Planet/Planemo/Planet/Type	Type	Types	Types of planet
Subjects/sci/Ap/Space/Astron/Planet/Sys	Sys	systems	Planetary systems
Subjects/sci/BLDG	BLDG		Scientific buildings
Subjects/sci/BLDG/Lab	Lab	Laboratories	Laboratories
Subjects/sci/phy	phy		
Subjects/sci/phy/chem	chem	Chemistry	Chemistry; Subfields of chemistry
Subjects/sci/phy/chem/Acid	Acid	Acidbase	Acidbase chemistry
Subjects/sci/phy/chem/Analyt	Analyt	Analytical	Analytical chemistry
Subjects/sci/phy/chem/Colloid/Surfactant	Surfactant	Surfactants	Surfactants
Subjects/sci/phy/chem/Inorganic/React/Thermite	Thermite		Thermite
Subjects/sci/phy/chem/Nuc	Nuc	Nuclear	Nuclear chemistry
Subjects/sci/phy/chem/Nuc/Iso	Iso	Isotopes	Isotopes
Subjects/sci/phy/chem/Organic/Comp	Comp	compounds	Organic compounds
Subjects/sci/phy/chem/Organic/Comp/H-C/Conj	Conj	Conjugated	Conjugated hydrocarbons
Subjects/sci/phy/chem/Organic/Comp/H-C/Conj/Aro	Aro	Aromatic	Aromatic hydrocarbons
Subjects/sci/phy/chem/Organic/Comp/H-C/Conj/Aro/C6H6/Deriv	Deriv	derivatives	Benzene derivatives
Subjects/sci/phy/chem/Organic/Grp	Grp		Functional groups
Subjects/sci/phy/chem/Organic/Grp/Ket	Ket	Ketones	Ketones
Subjects/sci/phy/chem/Organic/Grp/Ket/Poly	Poly	Polyketones	Polyketones
Subjects/sci/phy/chem/Organic/Grp/Ket/Poly/Di	Di	Diketones	Diketones
Subjects/sci/phy/chem/Organic/Grp/Ket/Poly/Di/Quin	Quin	Quinones	Quinones
Subjects/sci/phy/chem/Organic/Grp/Phos	Phos	Phosphate	Phosphate - Functional group
Subjects/sci/phy/chem/Organic/Phys	Phys	Physical	Physical organic chemistry
Subjects/sci/phy/chem/Organic/Phys/R-intermed/Rad	Rad	radicals	Free radicals
Subjects/sci/phy/chem/Organic/Phys/R-intermed/Rad/ROS	ROS		Reactive oxygen species (ROS)
Subjects/sci/phy/chem/Organic/Phys/R-intermed/Rad/ROS/Perox	Perox	Peroxides	Peroxides
Subjects/sci/phy/chem/Organic/Phys/R-intermed/Rad/ROS/S-ox/SGS	SGS		Superoxide generating substances
Subjects/sci/phy/chem/Organic/Phys/R-intermed/Rad/ROS/S-ox/SGS/Enz	Enz	enzymes	Superoxide generating enzymes
Subjects/sci/phy/chem/Wave	Wave		Microwave chemistry; Photochemistry
Subjects/sci/phy/chem/Wave/Elec	Elec		Photoelectrochemistry
Subjects/sci/phy/chem/concept/El	El	elements	Chemical elements
Subjects/sci/phy/chem/concept/El/Period/Grp	Grp		Grouping Methods (Periodic Table)
Subjects/sci/phy/chem/concept/El/Period/Grp/Blk	Blk		Blocks (Periodic Table)
Subjects/sci/phy/chem/concept/El/Period/Grp/Blk/Act	Act	Actinides	Actinides (B5fP7)
Subjects/sci/phy/chem/concept/El/Period/Grp/Blk/Lanth	Lanth	Lanthanides	Lanthanides (B4fP6)
Subjects/sci/phy/chem/concept/El/Period/Grp/Grp	Grp		Groups (periodic table)
Subjects/sci/phy/chem/concept/El/Period/Grp/Grp/Chal	Chal	Chalcogens	Chalcogens
Subjects/sci/phy/chem/concept/El/Period/Grp/Grp/Chal/Comp	Comp	compounds	Chalcogen compounds
Subjects/sci/phy/chem/concept/El/Period/Grp/Grp/Chal/Comp/ides	ides		Chalcogenides
Subjects/sci/phy/chem/concept/El/Period/Grp/Prd	Prd		Periods (Periodic Table)
Subjects/sci/phy/chem/concept/El/Set	Set	Sets	Sets of chemical elements
Subjects/sci/phy/chem/concept/React/Catalys	Catalys	Catalysis	Catalysis
Subjects/sci/phy/chem/concept/React/Catalys/ts	ts		Catalysts
Subjects/sci/phy/chem/concept/Substance/Comp	Comp	compounds	Chemical compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Salt	Salt	Salts	Salts
Subjects/sci/phy/chem/concept/Substance/Comp/Typ	Typ	type	Chemical compounds by type
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/Bond	Bond		Chemical compounds by chemical bond
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El	El	element	Chemical compounds by element
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/C	C	Carbon	Carbon compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/C/Carbonyl	Carbonyl		Carbonyl compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/Cd	Cd		Cadmium compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/O	O	Oxygen	Oxygen compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/O/Oxides/Poly	Poly	Polyoxides	Polyoxides
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/P	P	Phosphorus	Phosphorus compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/El/P/O	O	oxygen	Phosphorus–oxygen compounds
Subjects/sci/phy/chem/concept/Substance/Comp/Typ/Phys	Phys	physiological	Chemical compounds by physiological function
Subjects/sci/phy/chem/concept/Substance/Harm	Harm	Harmful	Harmful chemical substances
Subjects/sci/phy/chem/concept/Substance/Harm/Tox	Tox	Toxicants	Toxicants
